model,accelerator,pe_x,area_mm2,tp,base_area_mm2,base_tp,norm_x,norm_y
gpt2-xl,flexposit,2,0.01215197,1.9897171430375376,0.029446080000000003,2.039460071613483,0.01215197,0.9756097560975575
gpt2-xl,flexposit,4,0.023077090000000005,3.963053041715521,0.058892160000000006,4.062129367758416,0.023077090000000005,0.9756097560975593
gpt2-xl,flexposit,6,0.03400221,5.920209165669918,0.08833824,6.0682143948116645,0.03400221,0.9756097560975612
gpt2-xl,flexposit,8,0.04492733,7.861383694246085,0.11778432000000001,8.057918286602224,0.04492733,0.9756097560975625
gpt2-xl,flexposit,10,0.055852450000000005,9.793756373649758,0.1472304,10.038600282990997,0.055852450000000005,0.9756097560975615
gpt2-xl,flexposit,12,0.06677757000000001,11.696564630941882,0.17667648,11.988978746715445,0.06677757000000001,0.9756097560975597
gpt2-xl,flexposit,14,0.07770269000000002,13.613717199268109,0.20612256,12.033091642707527,0.07770269000000002,1.131356562676766
gpt2-xl,flexposit,16,0.08862781000000002,15.488377644245645,0.23556864000000002,12.033091642707527,0.08862781000000002,1.2871486484217165
gpt2-xl,flexposit,18,0.09955293000000001,17.34952564168458,0.26501472000000004,12.033091642707527,0.09955293000000001,1.4418177935342988
gpt2-xl,flexposit,20,0.11047805000000002,19.200593017986495,0.2944608,12.033091642707527,0.11047805000000002,1.5956491970725348
gpt2-xl,flexposit,22,0.12140317000000002,21.027420042348833,0.32390688,12.033091642707527,0.12140317000000002,1.74746612647068
gpt2-xl,flexposit,24,0.13232829000000002,22.838189730000117,0.35335296,12.033091642707527,0.13232829000000002,1.8979486243538133
gpt2-xl,flexposit,26,0.14325341,24.669416257292905,0.38279904000000003,12.037129962881398,0.14325341,2.04944337507075
gpt2-xl,flexposit,28,0.15417853000000004,26.45688571070001,0.41224512,12.037129962881398,0.15417853000000004,2.1979396909632496
gpt2-xl,flexposit,30,0.16510365000000002,28.22010468686825,0.4416912,12.037129962881398,0.16510365000000002,2.3444213673766
gpt2-xl,flexposit,32,0.17602877000000003,29.98325201222574,0.47113728000000005,12.037129962881398,0.17602877000000003,2.4908970913070108
gpt2-xl,flexposit,34,0.18695389,31.719682244310768,0.50058336,12.037129962881398,0.18695389,2.6351532584697495
gpt2-xl,flexposit,36,0.19787901000000002,33.446117682103555,0.5300294400000001,12.037129962881398,0.19787901000000002,2.7785790952860463
gpt2-xl,flexposit,38,0.20880413000000003,35.173778172766866,0.55947552,12.037129962881398,0.20880413000000003,2.9221067049397473
gpt2-xl,flexposit,40,0.21972925000000004,36.87252140825062,0.5889216,12.037129962881398,0.21972925000000004,3.063231976555334
gpt2-xl,flexposit,42,0.23065437000000003,38.56575906574227,0.6183676800000001,12.037129962881398,0.23065437000000003,3.20389986522257
gpt2-xl,flexposit,44,0.24157949,40.228367584576624,0.64781376,12.037129962881398,0.24157949,3.3420231989376084
gpt2-xl,flexposit,46,0.25250461,41.90095282907894,0.6772598400000001,12.037129962881398,0.25250461,3.480975361924967
gpt2-xl,flexposit,48,0.26342973,43.52981829214848,0.70670592,12.037129962881398,0.26342973,3.6162954480329037
gpt2-xl,flexposit,50,0.27435485,43.576575555198154,0.736152,12.037129962881398,0.27435485,3.6201798675908767
gpt2-xl,flexposit,52,0.28527997,43.576575555198154,0.7655980800000001,12.037129962881398,0.28527997,3.6201798675908767
gpt2-xl,flexposit,54,0.29620509,43.576575555198154,0.79504416,12.037129962881398,0.29620509,3.6201798675908767
gpt2-xl,flexposit,56,0.30713021,43.576575555198154,0.82449024,12.037129962881398,0.30713021,3.6201798675908767
gpt2-xl,flexposit,58,0.31805533,43.576575555198154,0.8539363200000001,12.037129962881398,0.31805533,3.6201798675908767
gpt2-xl,flexposit,60,0.32898045000000004,43.576575555198154,0.8833824,12.037129962881398,0.32898045000000004,3.6201798675908767
gpt2-xl,flexposit,62,0.33990557,43.576575555198154,0.91282848,12.037129962881398,0.33990557,3.6201798675908767
gpt2-xl,flexposit,64,0.35083069,43.576575555198154,0.9422745600000001,12.037129962881398,0.35083069,3.6201798675908767
gpt2-xl,flexposit,66,0.36175581,43.576575555198154,0.97172064,12.037129962881398,0.36175581,3.6201798675908767
gpt2-xl,bitmod,4,0.05620343999999999,8.066022413513075,0.058892160000000006,4.062129367758416,0.05620343999999999,1.9856635974063293
gpt2-xl,bitmod,6,0.08430516,12.00692765482611,0.08833824,6.0682143948116645,0.08430516,1.978659103589362
