model,accelerator,pe_x,area_mm2,tp,base_area_mm2,base_tp,norm_x,norm_y
microsoft/phi-2,flexposit,2,0.01215197,1.8197225225911027,0.029446080000000003,2.001666256607239,0.01215197,0.9091038611379075
microsoft/phi-2,flexposit,4,0.023077090000000005,3.638926598150721,0.058892160000000006,4.002705219115741,0.023077090000000005,0.9091168094948084
microsoft/phi-2,flexposit,6,0.03400221,5.4544877201754804,0.08833824,5.9996802751574885,0.03400221,0.9091297319226403
microsoft/phi-2,flexposit,8,0.04492733,7.275780294170257,0.11778432000000001,8.002902440977984,0.04492733,0.9091426951446293
microsoft/phi-2,flexposit,10,0.055852450000000005,9.093205460482872,0.1472304,10.001813938150047,0.055852450000000005,0.9091556308399762
microsoft/phi-2,flexposit,12,0.06677757000000001,10.886157967599575,0.17667648,11.973753222409073,0.06677757000000001,0.9091683923488546
microsoft/phi-2,flexposit,14,0.07770269000000002,12.717204455501811,0.20612256,12.025626935653559,0.07770269000000002,1.0575086457902552
microsoft/phi-2,flexposit,16,0.08862781000000002,14.543023776627972,0.23556864000000002,12.025812009030178,0.08862781000000002,1.2093174054032794
microsoft/phi-2,flexposit,18,0.09955293000000001,16.30076308986945,0.26501472000000004,12.025812009030178,0.09955293000000001,1.355481282896258
microsoft/phi-2,flexposit,20,0.11047805000000002,18.17307856438727,0.2944608,12.025812009030178,0.11047805000000002,1.5111726801268066
microsoft/phi-2,flexposit,22,0.12140317000000002,19.910686500115503,0.32390688,12.025812009030178,0.12140317000000002,1.6556625436323615
microsoft/phi-2,flexposit,24,0.13232829000000002,21.752154683973995,0.35335296,12.025812009030178,0.13232829000000002,1.8087888508185817
microsoft/phi-2,flexposit,26,0.14325341,23.529162854236436,0.38279904000000003,12.025812009030178,0.14325341,1.9565550198663006
microsoft/phi-2,flexposit,28,0.15417853000000004,25.319758838222114,0.41224512,12.025812009030178,0.15417853000000004,2.105451076335595
microsoft/phi-2,flexposit,30,0.16510365000000002,27.087496643876086,0.4416912,12.025812009030178,0.16510365000000002,2.2524463731460376
microsoft/phi-2,flexposit,32,0.17602877000000003,29.04959444914209,0.47113728000000005,12.025812009030178,0.17602877000000003,2.4156035723266553
microsoft/phi-2,flexposit,34,0.18695389,30.652149794521936,0.50058336,12.025812009030178,0.18695389,2.5488632095284083
microsoft/phi-2,flexposit,36,0.19787901000000002,32.39383217563758,0.5300294400000001,12.025812009030178,0.19787901000000002,2.6936918813725894
microsoft/phi-2,flexposit,38,0.20880413000000003,34.255369427976476,0.55947552,12.025812009030178,0.20880413000000003,2.8484870212717555
microsoft/phi-2,flexposit,40,0.21972925000000004,36.28925267527574,0.5889216,12.025812009030178,0.21972925000000004,3.017613500695517
microsoft/phi-2,flexposit,42,0.23065437000000003,38.06810768726626,0.6183676800000001,12.025812009030178,0.23065437000000003,3.1655332428846332
microsoft/phi-2,flexposit,44,0.24157949,39.539325558426604,0.64781376,12.025812009030178,0.24157949,3.287871582287877
microsoft/phi-2,flexposit,46,0.25250461,41.52438418520941,0.6772598400000001,12.025812009030178,0.25250461,3.452938076366799
microsoft/phi-2,flexposit,48,0.26342973,43.13624511048189,0.70670592,12.025812009030178,0.26342973,3.586971514114049
microsoft/phi-2,flexposit,50,0.27435485,43.634002736235026,0.736152,12.025812009030178,0.27435485,3.628362284681506
microsoft/phi-2,flexposit,52,0.28527997,43.634002736235026,0.7655980800000001,12.025812009030178,0.28527997,3.628362284681506
microsoft/phi-2,flexposit,54,0.29620509,43.634002736235026,0.79504416,12.025812009030178,0.29620509,3.628362284681506
microsoft/phi-2,flexposit,56,0.30713021,43.634002736235026,0.82449024,12.025812009030178,0.30713021,3.628362284681506
microsoft/phi-2,flexposit,58,0.31805533,43.634002736235026,0.8539363200000001,12.025812009030178,0.31805533,3.628362284681506
microsoft/phi-2,flexposit,60,0.32898045000000004,43.634002736235026,0.8833824,12.025812009030178,0.32898045000000004,3.628362284681506
microsoft/phi-2,flexposit,62,0.33990557,43.634002736235026,0.91282848,12.025812009030178,0.33990557,3.628362284681506
microsoft/phi-2,flexposit,64,0.35083069,43.634002736235026,0.9422745600000001,12.025812009030178,0.35083069,3.628362284681506
microsoft/phi-2,flexposit,66,0.36175581,43.634002736235026,0.97172064,12.025812009030178,0.36175581,3.628362284681506
microsoft/phi-2,bitmod,4,0.05620343999999999,8.002902440977984,0.058892160000000006,4.002705219115741,0.05620343999999999,1.999373424442669
