model,accelerator,pe_x,area_mm2,tp,base_area_mm2,base_tp,norm_x,norm_y
gpt2-large,flexposit,2,0.01215197,1.9734161493080924,0.029446080000000003,2.0227515530407945,0.01215197,0.9756097560975611
gpt2-large,flexposit,4,0.023077090000000005,3.935464873468273,0.058892160000000006,4.033851495304979,0.023077090000000005,0.9756097560975612
gpt2-large,flexposit,6,0.03400221,5.882911408792786,0.08833824,6.029984194012598,0.03400221,0.9756097560975623
gpt2-large,flexposit,8,0.04492733,7.82143247835263,0.11778432000000001,8.016968290311452,0.04492733,0.9756097560975603
gpt2-large,flexposit,10,0.055852450000000005,9.755525064835199,0.1472304,9.999413191456068,0.055852450000000005,0.9756097560975621
gpt2-large,flexposit,12,0.06677757000000001,11.665375483338046,0.17667648,11.957009870421482,0.06677757000000001,0.9756097560975623
gpt2-large,flexposit,14,0.07770269000000002,13.566028272620901,0.20612256,11.97751769952163,0.07770269000000002,1.132624356143737
gpt2-large,flexposit,16,0.08862781000000002,15.448564719818949,0.23556864000000002,11.97751769952163,0.08862781000000002,1.2897968600318535
gpt2-large,flexposit,18,0.09955293000000001,17.321020470050534,0.26501472000000004,11.97751769952163,0.09955293000000001,1.4461277290153634
gpt2-large,flexposit,20,0.11047805000000002,19.225513170977077,0.2944608,11.991583243749833,0.11047805000000002,1.603250611715318
gpt2-large,flexposit,22,0.12140317000000002,21.078054173291658,0.32390688,11.991583243749833,0.12140317000000002,1.7577373850344415
gpt2-large,flexposit,24,0.13232829000000002,22.918370034548367,0.35335296,11.991583243749833,0.13232829000000002,1.9112046815414232
gpt2-large,flexposit,26,0.14325341,24.761702939244316,0.38279904000000003,11.991583243749833,0.14325341,2.0649235748040553
gpt2-large,flexposit,28,0.15417853000000004,26.583032977890156,0.41224512,11.991583243749833,0.15417853000000004,2.216807608932338
gpt2-large,flexposit,30,0.16510365000000002,28.38330875336167,0.4416912,11.991583243749833,0.16510365000000002,2.366935889650386
gpt2-large,flexposit,32,0.17602877000000003,30.187152848258936,0.47113728000000005,11.991583243749833,0.17602877000000003,2.5173617390341567
gpt2-large,flexposit,34,0.18695389,31.96723297650733,0.50058336,11.991583243749833,0.18695389,2.6658058678923036
gpt2-large,flexposit,36,0.19787901000000002,33.740589640250974,0.5300294400000001,11.991583243749833,0.19787901000000002,2.8136893147814326
gpt2-large,flexposit,38,0.20880413000000003,35.51873130018282,0.55947552,11.991583243749833,0.20880413000000003,2.96197179123079
gpt2-large,flexposit,40,0.21972925000000004,37.27056078811988,0.5889216,11.991583243749833,0.21972925000000004,3.1080600476626614
gpt2-large,flexposit,42,0.23065437000000003,39.020126992305094,0.6183676800000001,11.991583243749833,0.23065437000000003,3.2539595647341133
gpt2-large,flexposit,44,0.24157949,40.74137166709006,0.64781376,11.991583243749833,0.24157949,3.39749729780886
gpt2-large,flexposit,46,0.25250461,42.47628049002145,0.6772598400000001,11.991583243749833,0.25250461,3.5421745091216903
gpt2-large,flexposit,48,0.26342973,44.169065194969306,0.70670592,11.991583243749833,0.26342973,3.6833389133991785
gpt2-large,flexposit,50,0.27435485,44.18896040443086,0.736152,11.991583243749833,0.27435485,3.6849980112061274
gpt2-large,flexposit,52,0.28527997,44.18896040443086,0.7655980800000001,11.991583243749833,0.28527997,3.6849980112061274
gpt2-large,flexposit,54,0.29620509,44.18896040443086,0.79504416,11.991583243749833,0.29620509,3.6849980112061274
gpt2-large,flexposit,56,0.30713021,44.18896040443086,0.82449024,11.991583243749833,0.30713021,3.6849980112061274
gpt2-large,flexposit,58,0.31805533,44.18896040443086,0.8539363200000001,11.991583243749833,0.31805533,3.6849980112061274
gpt2-large,flexposit,60,0.32898045000000004,44.18896040443086,0.8833824,11.991583243749833,0.32898045000000004,3.6849980112061274
gpt2-large,flexposit,62,0.33990557,44.18896040443086,0.91282848,11.991583243749833,0.33990557,3.6849980112061274
gpt2-large,flexposit,64,0.35083069,44.18896040443086,0.9422745600000001,11.991583243749833,0.35083069,3.6849980112061274
gpt2-large,flexposit,66,0.36175581,44.18896040443086,0.97172064,11.991583243749833,0.36175581,3.6849980112061274
gpt2-large,bitmod,4,0.05620343999999999,8.042465178956395,0.058892160000000006,4.033851495304979,0.05620343999999999,1.9937434950981867
gpt2-large,bitmod,6,0.08430516,12.003660081992294,0.08833824,6.029984194012598,0.08430516,1.9906619479883858
gpt2-large,bitmod,8,0.11240687999999999,15.934558000582495,0.11778432000000001,8.016968290311452,0.11240687999999999,1.9876039699245776
gpt2-large,bitmod,10,0.14050859999999998,19.82757387743031,0.1472304,9.999413191456068,0.14050859999999998,1.9828737444685105
gpt2-large,bitmod,12,0.16861032,23.669560964740302,0.17667648,11.957009870421482,0.16861032,1.9795551915778384
gpt2-large,bitmod,14,0.19671204,27.480299484788063,0.20612256,11.97751769952163,0.19671204,2.2943234294603125
gpt2-large,bitmod,16,0.22481375999999997,31.242243735306307,0.23556864000000002,11.97751769952163,0.22481375999999997,2.6084072275304666
gpt2-large,bitmod,18,0.25291547999999997,34.971791632194524,0.26501472000000004,11.97751769952163,0.25291547999999997,2.919786262022494
gpt2-large,bitmod,20,0.28101719999999997,38.67593133302913,0.2944608,11.991583243749833,0.28101719999999997,3.225256460875383
gpt2-large,bitmod,22,0.30911891999999996,42.32648277182533,0.32390688,11.991583243749833,0.30911891999999996,3.529682604162085
gpt2-large,bitmod,24,0.33722064,45.93997568023725,0.35335296,11.991583243749833,0.33722064,3.831018369003255
gpt2-large,bitmod,26,0.36532236,45.94349154325057,0.38279904000000003,11.991583243749833,0.36532236,3.8313115632330628
gpt2-large,bitmod,28,0.39342408,45.94349154325057,0.41224512,11.991583243749833,0.39342408,3.8313115632330628
gpt2-large,bitmod,30,0.4215258,45.94349154325057,0.4416912,11.991583243749833,0.4215258,3.8313115632330628
gpt2-large,bitmod,32,0.44962751999999995,45.94349154325057,0.47113728000000005,11.991583243749833,0.44962751999999995,3.8313115632330628
gpt2-large,bitmod,34,0.47772924,45.94349154325057,0.50058336,11.991583243749833,0.47772924,3.8313115632330628
gpt2-large,bitmod,36,0.5058309599999999,45.94349154325057,0.5300294400000001,11.991583243749833,0.5058309599999999,3.8313115632330628
gpt2-large,bitmod,38,0.5339326799999999,45.94349154325057,0.55947552,11.991583243749833,0.5339326799999999,3.8313115632330628
gpt2-large,bitmod,40,0.5620343999999999,45.94349154325057,0.5889216,11.991583243749833,0.5620343999999999,3.8313115632330628
gpt2-large,bitmod,42,0.59013612,45.94349154325057,0.6183676800000001,11.991583243749833,0.59013612,3.8313115632330628
gpt2-large,bitmod,44,0.6182378399999999,45.94349154325057,0.64781376,11.991583243749833,0.6182378399999999,3.8313115632330628
gpt2-large,bitmod,46,0.6463395599999999,45.94349154325057,0.6772598400000001,11.991583243749833,0.6463395599999999,3.8313115632330628
gpt2-large,bitmod,48,0.67444128,45.94349154325057,0.70670592,11.991583243749833,0.67444128,3.8313115632330628
gpt2-large,bitmod,50,0.702543,45.94349154325057,0.736152,11.991583243749833,0.702543,3.8313115632330628
gpt2-large,bitmod,52,0.73064472,45.94349154325057,0.7655980800000001,11.991583243749833,0.73064472,3.8313115632330628
gpt2-large,bitmod,54,0.7587464399999999,45.94349154325057,0.79504416,11.991583243749833,0.7587464399999999,3.8313115632330628
gpt2-large,bitmod,56,0.78684816,45.94349154325057,0.82449024,11.991583243749833,0.78684816,3.8313115632330628
gpt2-large,bitmod,58,0.81494988,45.94349154325057,0.8539363200000001,11.991583243749833,0.81494988,3.8313115632330628
gpt2-large,bitmod,60,0.8430516,45.94349154325057,0.8833824,11.991583243749833,0.8430516,3.8313115632330628
