model,accelerator,pe_x,area_mm2,tp,base_area_mm2,base_tp,norm_x,norm_y
meta-llama/Llama-2-7b-hf,flexposit,2,0.01215197,1.6008797854687653,0.029446080000000003,2.0010572719582527,0.01215197,0.8000169749774977
meta-llama/Llama-2-7b-hf,flexposit,4,0.023077090000000005,3.2014878450168878,0.058892160000000006,4.001689999189243,0.023077090000000005,0.8000339470737415
meta-llama/Llama-2-7b-hf,flexposit,6,0.03400221,4.800134489910631,0.08833824,5.999786388188417,0.03400221,0.8000508983720652
meta-llama/Llama-2-7b-hf,flexposit,8,0.04492733,6.401889063033238,0.11778432000000001,8.001682359783793,0.04492733,0.8000678826254006
meta-llama/Llama-2-7b-hf,flexposit,10,0.055852450000000005,7.996727158246776,0.1472304,9.994849574466336,0.055852450000000005,0.8000847935396518
meta-llama/Llama-2-7b-hf,flexposit,12,0.06677757000000001,9.58792083208927,0.17667648,11.983369129859348,0.06677757000000001,0.8001022690854727
meta-llama/Llama-2-7b-hf,flexposit,14,0.07770269000000002,11.186953357308084,0.20612256,12.025362907553633,0.07770269000000002,0.9302798961918306
meta-llama/Llama-2-7b-hf,flexposit,16,0.08862781000000002,12.799322029488373,0.23556864000000002,12.025362907553633,0.08862781000000002,1.0643605625779977
meta-llama/Llama-2-7b-hf,flexposit,18,0.09955293000000001,14.378085730400844,0.26501472000000004,12.025362907553633,0.09955293000000001,1.1956467210955743
meta-llama/Llama-2-7b-hf,flexposit,20,0.11047805000000002,15.980171356641085,0.2944608,12.025362907553633,0.11047805000000002,1.328872274333049
meta-llama/Llama-2-7b-hf,flexposit,22,0.12140317000000002,17.542578042912616,0.32390688,12.025362907553633,0.12140317000000002,1.4587982232031758
meta-llama/Llama-2-7b-hf,flexposit,24,0.13232829000000002,19.165421611029302,0.35335296,12.025362907553633,0.13232829000000002,1.5937499565182103
meta-llama/Llama-2-7b-hf,flexposit,26,0.14325341,20.7432382816912,0.38279904000000003,12.025362907553633,0.14325341,1.7249573622981063
meta-llama/Llama-2-7b-hf,flexposit,28,0.15417853000000004,22.30622788450794,0.41224512,12.025362907553633,0.15417853000000004,1.8549317850936928
meta-llama/Llama-2-7b-hf,flexposit,30,0.16510365000000002,23.93702909661973,0.4416912,12.025362907553633,0.16510365000000002,1.990545256774237
meta-llama/Llama-2-7b-hf,flexposit,32,0.17602877000000003,25.58004807469096,0.47113728000000005,12.025362907553633,0.17602877000000003,2.1271747282257123
meta-llama/Llama-2-7b-hf,flexposit,34,0.18695389,27.102652607055646,0.50058336,12.025362907553633,0.18695389,2.2537908265563726
meta-llama/Llama-2-7b-hf,flexposit,36,0.19787901000000002,28.73270711432356,0.5300294400000001,12.025362907553633,0.19787901000000002,2.38934220407397
meta-llama/Llama-2-7b-hf,flexposit,38,0.20880413000000003,30.32085980098721,0.55947552,12.025362907553633,0.20880413000000003,2.5214091278643584
meta-llama/Llama-2-7b-hf,flexposit,40,0.21972925000000004,31.821983321255658,0.5889216,12.025362907553633,0.21972925000000004,2.646238917352502
meta-llama/Llama-2-7b-hf,flexposit,42,0.23065437000000003,33.419698024762646,0.6183676800000001,12.025362907553633,0.23065437000000003,2.779100995261468
meta-llama/Llama-2-7b-hf,flexposit,44,0.24157949,34.91801727729269,0.64781376,12.025362907553633,0.24157949,2.9036975886490066
meta-llama/Llama-2-7b-hf,flexposit,46,0.25250461,36.488814517788285,0.6772598400000001,12.025362907553633,0.25250461,3.0343212756488316
meta-llama/Llama-2-7b-hf,flexposit,48,0.26342973,38.13200130299292,0.70670592,12.025362907553633,0.26342973,3.170964701534339
meta-llama/Llama-2-7b-hf,flexposit,50,0.27435485,38.40617665054659,0.736152,12.025362907553633,0.27435485,3.1937644581538627
meta-llama/Llama-2-7b-hf,flexposit,52,0.28527997,38.40617665054659,0.7655980800000001,12.025362907553633,0.28527997,3.1937644581538627
meta-llama/Llama-2-7b-hf,flexposit,54,0.29620509,38.40617665054659,0.79504416,12.025362907553633,0.29620509,3.1937644581538627
meta-llama/Llama-2-7b-hf,flexposit,56,0.30713021,38.40617665054659,0.82449024,12.025362907553633,0.30713021,3.1937644581538627
meta-llama/Llama-2-7b-hf,flexposit,58,0.31805533,38.40617665054659,0.8539363200000001,12.025362907553633,0.31805533,3.1937644581538627
meta-llama/Llama-2-7b-hf,flexposit,60,0.32898045000000004,38.40617665054659,0.8833824,12.025362907553633,0.32898045000000004,3.1937644581538627
meta-llama/Llama-2-7b-hf,flexposit,62,0.33990557,38.40617665054659,0.91282848,12.025362907553633,0.33990557,3.1937644581538627
meta-llama/Llama-2-7b-hf,flexposit,64,0.35083069,38.40617665054659,0.9422745600000001,12.025362907553633,0.35083069,3.1937644581538627
meta-llama/Llama-2-7b-hf,flexposit,66,0.36175581,38.40617665054659,0.97172064,12.025362907553633,0.36175581,3.1937644581538627
meta-llama/Llama-2-7b-hf,bitmod,4,0.05620343999999999,8.001682359783793,0.058892160000000006,4.001689999189243,0.05620343999999999,1.9995757695885894
meta-llama/Llama-2-7b-hf,bitmod,6,0.08430516,11.99574793689069,0.08833824,5.999786388188417,0.08430516,1.9993625040561986
meta-llama/Llama-2-7b-hf,bitmod,8,0.11240687999999999,15.996245330373533,0.11778432000000001,8.001682359783793,0.11240687999999999,1.9991102634578655
meta-llama/Llama-2-7b-hf,bitmod,10,0.14050859999999998,19.978592462223656,0.1472304,9.994849574466336,0.14050859999999998,1.9988887589926925
meta-llama/Llama-2-7b-hf,bitmod,12,0.16861032,23.950436922707404,0.17667648,11.983369129859348,0.16861032,1.9986396699597049
meta-llama/Llama-2-7b-hf,bitmod,14,0.19671204,27.94102388539403,0.20612256,12.025362907553633,0.19671204,2.3235077477656083
meta-llama/Llama-2-7b-hf,bitmod,16,0.22481375999999997,31.963450263221038,0.23556864000000002,12.025362907553633,0.22481375999999997,2.6580029649785835
meta-llama/Llama-2-7b-hf,bitmod,18,0.25291547999999997,35.901236618733,0.26501472000000004,12.025362907553633,0.25291547999999997,2.9854597233137916
meta-llama/Llama-2-7b-hf,bitmod,20,0.28101719999999997,39.8961115999715,0.2944608,12.025362907553633,0.28101719999999997,3.317663833239584
meta-llama/Llama-2-7b-hf,bitmod,22,0.30911891999999996,43.79099650855439,0.32390688,12.025362907553633,0.30911891999999996,3.6415530113479933
meta-llama/Llama-2-7b-hf,bitmod,24,0.33722064,47.83544696217417,0.35335296,12.025362907553633,0.33722064,3.9778796972627513
meta-llama/Llama-2-7b-hf,bitmod,26,0.36532236,47.96873993733587,0.38279904000000003,12.025362907553633,0.36532236,3.9889640176434673
meta-llama/Llama-2-7b-hf,bitmod,28,0.39342408,47.96873993733587,0.41224512,12.025362907553633,0.39342408,3.9889640176434673
meta-llama/Llama-2-7b-hf,bitmod,30,0.4215258,47.96873993733587,0.4416912,12.025362907553633,0.4215258,3.9889640176434673
meta-llama/Llama-2-7b-hf,bitmod,32,0.44962751999999995,47.96873993733587,0.47113728000000005,12.025362907553633,0.44962751999999995,3.9889640176434673
meta-llama/Llama-2-7b-hf,bitmod,34,0.47772924,47.96873993733587,0.50058336,12.025362907553633,0.47772924,3.9889640176434673
meta-llama/Llama-2-7b-hf,bitmod,36,0.5058309599999999,47.96873993733587,0.5300294400000001,12.025362907553633,0.5058309599999999,3.9889640176434673
meta-llama/Llama-2-7b-hf,bitmod,38,0.5339326799999999,47.96873993733587,0.55947552,12.025362907553633,0.5339326799999999,3.9889640176434673
meta-llama/Llama-2-7b-hf,bitmod,40,0.5620343999999999,47.96873993733587,0.5889216,12.025362907553633,0.5620343999999999,3.9889640176434673
