accelerator,model,pe_x,pe_y,total_cycle,pe_array_area_mm2,weight_buffer_area_mm2,input_buffer_area_mm2,total_area_mm2,total_macs,dram_energy_mJ,onchip_energy_mJ,total_energy_mJ,edp,log_file
BitMod (Bit-Serial),facebook/opt-2.7b,26,16,55241069.0,0.378976,0.48107,0.524382,0.378976,,16307.85,20185.95,36493.8,2015956368765.61,test_bitmod_x26_y16.log
BitMod (Bit-Serial),meta-llama/Llama-2-7b-hf,26,16,137830050.0,0.378976,0.48107,0.524382,0.378976,,40756.81,50316.31,91073.12,12552612329933.57,test_bitmod_x26_y16.log
MixPosit (Bit-Serial + Mixed-Precision),gpt2-large,34,16,2046935.9999999998,0.151232,0.530335,0.524382,0.151232,,427.64,311.39,739.04,1512758447.94,test_flexposit_x34_y16.log
MixPosit (Bit-Serial + Mixed-Precision),gpt2-xl,34,16,2605272.0,0.151232,0.530335,0.524382,0.151232,,551.98,395.83,947.81,2469304759.5,test_flexposit_x34_y16.log
MixPosit (Bit-Serial + Mixed-Precision),microsoft/phi-2,34,16,86471520.00000001,0.151232,0.530335,0.524382,0.151232,,17906.17,13064.4,30970.57,2678072121328.51,test_flexposit_x34_y16.log
MixPosit (Bit-Serial + Mixed-Precision),facebook/opt-2.7b,34,16,94228832.0,0.151232,0.530335,0.524382,0.151232,,19549.9,14126.05,33675.95,3173245827399.83,test_flexposit_x34_y16.log
MixPosit (Bit-Serial + Mixed-Precision),meta-llama/Llama-2-7b-hf,34,16,243944160.0,0.151232,0.530335,0.524382,0.151232,,50899.24,36449.02,87348.26,21308097821506.88,test_flexposit_x34_y16.log
BitMod (Bit-Serial),gpt2-large,6,16,5451244.0,0.087456,0.46746,0.524382,0.087456,,417.58,624.02,1041.6,5678035846.64,test_bitmod_x6_y16.log
BitMod (Bit-Serial),gpt2-xl,6,16,6882560.0,0.087456,0.46746,0.524382,0.087456,,539.8,783.62,1323.42,9108521430.68,test_bitmod_x6_y16.log
BitMod (Bit-Serial),microsoft/phi-2,6,16,220993696.0,0.087456,0.46746,0.524382,0.087456,,16322.37,25384.9,41707.27,9217043940354.67,test_bitmod_x6_y16.log
