step,target_avg_bits,achieved_avg_bits,windows_applied,channels_applied,ppl
0,4.0,4.0,0,0,221.346536
1,4.0,4.0,0,0,221.346536
2,4.1,4.1,1152,73728,165.917615
3,4.2,4.200087,2305,147520,108.985006
4,4.3,4.3,3456,221184,81.653968
5,4.4,4.400087,4609,294976,71.008740
6,4.5,4.5,5760,368640,58.771335
7,4.6,4.6,6912,442368,46.601649
8,4.7,4.700087,8065,516160,30.379724
9,4.8,4.8,9216,589824,19.728163
10,4.9,4.900087,10369,663616,17.025456
11,5.0,5.0,11520,737280,15.188037
