step,target_avg_bits,achieved_avg_bits,windows_applied,channels_applied,ppl
0,4.0,4.0,0,0,221.351776
1,4.0,4.0,0,0,221.351776
2,4.1,4.1,1152,73728,16.238469
3,4.2,4.200087,2305,147520,15.639215
4,4.3,4.3,3456,221184,15.432173
5,4.4,4.400087,4609,294976,15.426822
6,4.5,4.5,5760,368640,15.457058
7,4.6,4.6,6912,442368,15.230667
8,4.7,4.700087,8065,516160,14.984842
9,4.8,4.8,9216,589824,14.860678
10,4.9,4.900087,10369,663616,14.483643
11,5.0,5.0,11520,737280,13.848697
